Tue Nov 15 11:22:36 2022    exec.dat

         402176 function calls (356651 primitive calls) in 5.170 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       58    0.001    0.000    0.004    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/field/world_layer.py:465(draw_ball_speed)
      684    0.001    0.000    0.001    0.000 {built-in method setVisible}
      636    0.001    0.000    0.012    0.000 /usr/lib/python3.8/queue.py:192(get_nowait)
     2461    0.001    0.000    0.001    0.000 /usr/lib/python3.8/enum.py:753(value)
       20    0.001    0.000    0.001    0.000 {built-in method moveCursor}
       58    0.001    0.000    0.009    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/field/obstacle_layer.py:25(paint)
      735    0.001    0.000    0.002    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/GraphicsItem.py:97(getViewBox)
      229    0.001    0.000    0.001    0.000 /usr/lib/python3.8/warnings.py:437(__init__)
     2251    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      192    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
       58    0.001    0.000    0.797    0.014 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/widgets/GraphicsView.py:141(paintEvent)
      308    0.001    0.000    0.004    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/parametertree/parameterTypes/basetypes.py:103(widgetEventFilter)
      475    0.001    0.000    0.001    0.000 /usr/lib/python3.8/enum.py:68(__init__)
      233    0.001    0.000    0.001    0.000 {built-in method end}
      636    0.001    0.000    0.001    0.000 /usr/lib/python3.8/threading.py:246(__enter__)
      229    0.001    0.000    0.001    0.000 {method 'remove' of 'list' objects}
      229    0.001    0.000    0.001    0.000 {built-in method text}
       12    0.001    0.000    0.001    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/gloo/gl/_gl2.py:439(glEnable)
        3    0.001    0.000    0.001    0.000 {built-in method addWidget}
      192    0.001    0.000    0.046    0.000 /opt/tbotspython/lib/python3.8/site-packages/google/protobuf/json_format.py:133(MessageToDict)
      684    0.001    0.000    0.002    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/TextItem.py:182(setVisible)
      142    0.001    0.000    0.001    0.000 {built-in method contentsRect}
    58/12    0.001    0.000    0.039    0.003 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/util/event.py:402(__call__)
     4699    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
      475    0.001    0.000    0.001    0.000 /usr/lib/python3.8/enum.py:522(_check_for_existing_members)
       24    0.001    0.000    0.067    0.003 {built-in method setParentItem}
       24    0.001    0.000    0.001    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/functions.py:327(<listcomp>)
      475    0.001    0.000    0.002    0.000 /usr/lib/python3.8/enum.py:370(__getattr__)
     1026    0.001    0.000    0.001    0.000 {method 'HasField' of 'google.protobuf.pyext._message.CMessage' objects}
