Tue Nov 15 12:01:59 2022    exec.dat

         1160897 function calls (1092410 primitive calls) in 5.016 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      302    0.003    0.000    0.015    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/field/simulator_layer.py:33(paint)
22188/22182    0.003    0.000    0.003    0.000 {built-in method builtins.hasattr}
      606    0.003    0.000    0.003    0.000 {built-in method setHorizontalHeaderLabels}
      198    0.003    0.000    0.003    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/gloo/gl/_gl2.py:42(glBindBuffer)
      606    0.003    0.000    0.003    0.000 /opt/tbotspython/lib/python3.8/site-packages/google/protobuf/json_format.py:239(<listcomp>)
    11639    0.003    0.000    0.004    0.000 {built-in method builtins.getattr}
       28    0.003    0.000    0.003    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__freetype_py/freetype/__init__.py:1517(load_char)
     2690    0.003    0.000    0.006    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/ViewBox/ViewBox.py:1065(itemBoundsChanged)
     6946    0.003    0.000    0.003    0.000 {built-in method setBrush}
     1572    0.003    0.000    0.004    0.000 /usr/lib/python3.8/threading.py:341(notify)
     2710    0.003    0.000    0.003    0.000 /usr/lib/python3.8/weakref.py:471(pop)
      302    0.003    0.000    0.004    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/field/validation_layer.py:78(paint)
    13610    0.003    0.000    0.003    0.000 {built-in method builtins.max}
        6    0.002    0.000    0.002    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/gloo/gl/_gl2.py:951(glLinkProgram)
     1878    0.002    0.000    0.005    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__numpy/numpy/core/numeric.py:1873(isscalar)
      606    0.002    0.000    0.013    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/log/g3log_widget.py:48(refresh)
      302    0.002    0.000    0.016    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/field/world_layer.py:382(draw_ball_state)
     1425    0.002    0.000    0.007    0.000 /usr/lib/python3.8/enum.py:532(_get_mixins_)
      683    0.002    0.000    0.002    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     5454    0.002    0.000    0.002    0.000 /opt/tbotspython/lib/python3.8/site-packages/google/protobuf/json_format.py:380(_IsWrapperMessage)
     3630    0.002    0.000    0.021    0.000 /usr/lib/python3.8/queue.py:192(get_nowait)
       12    0.002    0.000    0.002    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/gloo/gl/_gl2.py:293(glDeleteBuffer)
      304    0.002    0.000    0.952    0.003 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/widgets/GraphicsView.py:141(paintEvent)
       28    0.002    0.000    0.144    0.005 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/util/fonts/_freetype.py:45(_load_glyph)
     1212    0.002    0.000    0.057    0.000 /opt/tbotspython/lib/python3.8/site-packages/google/protobuf/json_format.py:133(MessageToDict)
      104    0.002    0.000    0.002    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/gloo/gl/_gl2.py:69(glBindTexture)
      302    0.002    0.000    0.017    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/field/obstacle_layer.py:25(paint)
      604    0.002    0.000    0.128    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/AxisItem.py:600(paint)
