Tue Nov 15 12:00:56 2022    exec.dat

         1158139 function calls (1089395 primitive calls) in 4.889 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10548    0.004    0.000    0.006    0.000 /usr/lib/python3.8/types.py:171(__get__)
     5004    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0x90b780}
       28    0.004    0.000    0.180    0.006 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/util/fonts/_freetype.py:45(_load_glyph)
      475    0.004    0.000    0.092    0.000 /usr/lib/python3.8/enum.py:430(_create_)
      109    0.004    0.000    0.004    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/gloo/gl/_gl2.py:69(glBindTexture)
     8884    0.004    0.000    0.004    0.000 /opt/tbotspython/lib/python3.8/site-packages/google/protobuf/json_format.py:171(_IsMapEntry)
     4152    0.004    0.000    0.006    0.000 {built-in method setRenderHint}
     7177    0.004    0.000    0.205    0.000 <__array_function__ internals>:177(interp)
     1776    0.004    0.000    0.038    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/ScatterPlotItem.py:76(drawSymbol)
    11684    0.004    0.000    0.004    0.000 {built-in method normalized}
     1218    0.004    0.000    0.008    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/AxisItem.py:581(boundingRect)
     2368    0.004    0.000    0.004    0.000 {built-in method drawPixmap}
     2597    0.004    0.000    0.011    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/GraphicsItem.py:573(informViewBoundsChanged)
      247    0.003    0.000    0.005    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/visuals/transforms/_util.py:50(as_vec4)
       20    0.003    0.000    0.003    0.000 {built-in method currentThread}
      296    0.003    0.000    0.010    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/field/world_layer.py:423(draw_robot_status)
       50    0.003    0.000    0.003    0.000 {method 'disconnect' of 'PyQt6.QtCore.pyqtBoundSignal' objects}
      475    0.003    0.000    0.005    0.000 /usr/lib/python3.8/enum.py:200(<setcomp>)
     7177    0.003    0.000    0.010    0.000 <__array_function__ internals>:177(iscomplexobj)
     5452    0.003    0.000    0.003    0.000 /usr/lib/python3.8/enum.py:22(_is_dunder)
    40223    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
     7177    0.003    0.000    0.004    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__numpy/numpy/lib/type_check.py:303(iscomplexobj)
      296    0.003    0.000    0.015    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/field/simulator_layer.py:33(paint)
       50    0.003    0.000    0.571    0.011 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/visuals/text/text.py:237(_text_to_vbo)
    11884    0.003    0.000    0.004    0.000 {built-in method builtins.getattr}
       14    0.003    0.000    0.003    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/gloo/gl/_gl2.py:210(glCompileShader)
6807/6713    0.003    0.000    0.004    0.000 /usr/lib/python3.8/enum.py:631(__new__)
21968/21962    0.003    0.000    0.003    0.000 {built-in method builtins.hasattr}
       28    0.003    0.000    0.003    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__freetype_py/freetype/__init__.py:1517(load_char)
      594    0.003    0.000    0.003    0.000 /opt/tbotspython/lib/python3.8/site-packages/google/protobuf/json_format.py:239(<listcomp>)
      296    0.003    0.000    0.005    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/field/validation_layer.py:78(paint)
       25    0.003    0.000    0.003    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/gloo/gl/_gl2.py:409(glDrawArrays)
      592    0.003    0.000    0.003    0.000 {built-in method setHorizontalHeaderLabels}
     1529    0.003    0.000    0.004    0.000 /usr/lib/python3.8/threading.py:341(notify)
